id2,year,part,kd2,kd5,kd17,tempinc,part1
1,79,1,0,0,0,-3.17474007606506,NA
1,80,1,0,0,0,0.503463685512543,1
1,81,1,1,0,0,-2.26885604858398,1
1,82,1,1,0,0,-3.21712899208069,1
1,83,1,1,1,0,1.19163501262665,1
1,84,1,1,1,0,4.53569221496582,1
1,85,0,1,1,0,2.42992806434631,1
2,79,0,0,1,1,0.973579406738281,NA
2,80,0,0,0,2,-0.421009093523026,0
2,81,0,0,0,2,-4.12349510192871,0
2,82,0,0,0,2,-2.30879807472229,0
2,83,0,0,0,2,-3.23617005348206,0
2,84,1,0,0,2,1.74523901939392,0
2,85,1,0,0,2,7.37065505981445,1
3,79,1,0,0,0,-0.636001586914062,NA
3,80,1,0,0,0,-1.31320202350616,1
3,81,1,0,0,0,-7.42814588546753,1
3,82,1,0,0,0,1.14275395870209,1
3,83,1,0,0,0,-2.34660005569458,1
3,84,1,0,0,0,0.739727020263672,1
3,85,1,0,0,0,9.84146881103516,1
4,79,1,0,1,0,7.78127717971802,NA
4,80,1,0,1,0,-14.0487098693848,1
4,81,1,1,1,0,-0.913577973842621,1
4,82,1,1,0,1,4.89026594161987,1
4,83,1,1,0,1,3.99162888526917,1
4,84,1,0,1,1,-0.384548187255859,1
4,85,1,0,1,1,-1.31633198261261,1
5,79,1,0,1,2,7.0461368560791,NA
5,80,1,0,1,2,5.29924011230469,1
5,81,1,0,1,2,3.27702903747559,1
5,82,1,0,1,2,0.898065626621246,1
5,83,1,1,0,3,0.260864287614822,1
5,84,1,1,0,3,-7.13387203216553,1
5,85,1,1,0,3,-9.64746761322021,1
6,79,1,0,0,0,10.5709199905396,NA
6,80,1,0,0,0,10.4153203964233,1
6,81,1,0,0,0,-3.29424095153809,1
6,82,1,0,0,0,-13.4617204666138,1
6,83,1,0,0,0,-0.75251579284668,1
6,84,1,0,0,0,-5.02884483337402,1
6,85,1,0,0,0,1.55109405517578,1
7,79,0,0,0,1,2.73183393478394,NA
7,80,0,0,0,1,0.0671309977769852,0
7,81,1,0,0,1,-1.2912369966507,0
7,82,1,0,0,1,-2.07602691650391,1
7,83,1,0,0,1,0.307193785905838,1
7,84,1,0,0,1,1.29007303714752,1
7,85,1,0,0,1,-1.02896094322205,1
8,79,1,0,0,2,0.818643629550934,NA
8,80,1,0,0,1,-0.740604400634766,1
8,81,1,0,0,1,-0.732038497924805,1
8,82,1,0,0,1,-0.613531112670898,1
8,83,0,0,0,0,-1.16308403015137,1
8,84,0,0,0,0,0.417430907487869,0
8,85,0,0,0,0,2.01318693161011,0
9,79,1,0,0,0,-7.85937118530273,NA
9,80,1,0,0,0,5.93576192855835,1
9,81,1,0,0,0,8.58854293823242,1
9,82,1,0,0,0,3.66345000267029,1
9,83,0,0,0,0,-8.5308256149292,1
9,84,0,0,0,0,-5.40827322006226,0
9,85,0,0,0,0,3.61071801185608,0
10,79,1,0,0,2,-7.38186597824097,NA
10,80,1,0,0,1,-6.98937606811523,1
10,81,1,0,0,0,-5.87865400314331,1
10,82,1,0,0,0,-7.84468507766724,1
10,83,1,0,0,0,6.34535980224609,1
10,84,1,0,0,0,4.10421800613403,1
10,85,1,0,0,0,17.6450099945068,1
11,79,1,1,0,0,-3.23322701454163,NA
11,80,1,1,0,0,-3.74907088279724,1
11,81,1,0,1,0,-1.09629094600677,1
11,82,1,0,1,0,0.625221312046051,1
11,83,1,1,1,0,-6.75987577438354,1
11,84,0,1,0,1,4.51027488708496,1
11,85,0,1,0,1,9.70296669006348,0
12,79,1,0,0,0,-1.84419798851013,NA
12,80,1,0,0,0,-0.498140305280685,1
12,81,1,0,0,0,-2.46526193618774,1
12,82,1,0,0,0,0.530673980712891,1
12,83,1,0,0,0,-0.93922621011734,1
12,84,1,0,0,0,2.51459002494812,1
12,85,1,0,0,0,2.70156288146973,1
13,79,1,0,0,1,1.76482200622559,NA
13,80,1,0,0,1,0.526643812656403,1
13,81,1,0,0,1,1.76739299297333,1
13,82,1,0,0,1,0.293510407209396,1
13,83,1,0,0,1,0.310606002807617,1
13,84,1,0,0,1,-2.69794106483459,1
13,85,1,0,0,1,-1.96502900123596,1
14,79,1,1,0,0,-3.11872291564941,NA
14,80,0,1,0,0,-2.14796090126038,1
14,81,0,1,0,0,-2.51743698120117,0
14,82,0,1,1,0,0.294557601213455,0
14,83,0,1,1,0,-4.38640785217285,0
14,84,0,2,1,0,2.56478691101074,0
14,85,0,1,1,1,9.31118202209473,0
15,79,0,2,0,4,-3.90779089927673,NA
15,80,0,3,0,4,-2.94213891029358,0
15,81,0,2,1,4,-0.54138571023941,0
15,82,0,1,2,3,2.43408799171448,0
15,83,0,0,1,3,0.977867126464844,0
15,84,0,0,0,3,-0.662572920322418,0
15,85,0,0,0,2,4.64193201065063,0
16,79,1,0,1,0,-2.73334288597107,NA
16,80,0,0,1,0,-2.32589888572693,1
16,81,1,1,0,1,-3.97903299331665,0
16,82,1,1,0,1,-2.53667306900024,1
16,83,1,1,0,1,1.11773502826691,1
16,84,1,0,1,1,0.488061904907227,1
16,85,1,0,1,1,9.96915245056152,1
17,79,1,0,0,3,20.2269096374512,NA
17,80,1,0,0,2,-1.45955300331116,1
17,81,1,0,0,2,-12.9533395767212,1
17,82,1,0,0,1,-14.2852096557617,1
17,83,1,0,0,1,38.0779991149902,1
17,84,0,0,0,1,-15.4390897750854,1
17,85,0,0,0,0,-14.1677103042603,0
18,79,1,0,0,0,-2.26389288902283,NA
18,80,1,0,0,0,-8.07915306091309,1
18,81,0,0,0,0,0.808830320835114,1
18,82,0,0,0,0,-2.65557909011841,0
18,83,1,0,0,0,1.16502201557159,0
18,84,1,0,0,0,5.62158203125,1
18,85,1,0,0,0,5.40319299697876,1
19,79,1,0,0,1,1.33705699443817,NA
19,80,1,0,0,1,5.60818481445312,1
19,81,1,0,0,1,3.84125089645386,1
19,82,0,0,0,1,5.27265882492065,1
19,83,0,0,0,1,-6.47732305526733,0
19,84,0,0,0,1,-3.52688002586365,0
19,85,0,0,0,1,-6.05495309829712,0
20,79,0,0,0,2,10.4745502471924,NA
20,80,0,0,0,2,9.87200736999512,0
20,81,0,0,0,2,13.4653997421265,0
20,82,0,0,0,1,8.46815299987793,0
20,83,0,0,0,1,-6.45096492767334,0
20,84,1,0,0,1,-20.1062793731689,0
20,85,1,0,0,1,-15.7228698730469,1
21,79,0,2,1,2,-0.0268574003130198,NA
21,80,0,1,1,3,-1.64323604106903,0
21,81,0,1,1,3,-1.89202904701233,0
21,82,1,0,2,3,-0.622976303100586,0
21,83,1,0,1,4,-0.389572113752365,1
21,84,1,0,1,4,-2.4871621131897,1
21,85,1,0,0,5,7.06183815002441,1
22,79,1,0,1,0,4.3798828125,NA
22,80,1,1,0,1,-4.38482999801636,1
22,81,1,1,0,2,-7.78453683853149,1
22,82,1,1,0,2,4.83374786376953,1
22,83,1,0,1,2,2.2612829208374,1
22,84,1,0,1,2,7.57302904129028,1
22,85,1,0,1,1,-6.87857818603516,1
23,79,0,0,0,1,7.13152694702148,NA
23,80,0,0,0,1,0.742641389369965,0
23,81,0,0,0,1,8.63473892211914,0
23,82,0,0,0,1,-2.6639289855957,0
23,83,0,0,0,1,-9.36334228515625,0
23,84,0,0,0,1,18.6176109313965,0
23,85,0,0,0,1,-23.0992393493652,0
24,79,0,0,0,3,-5.20116806030273,NA
24,80,0,0,0,2,-7.21393203735352,0
24,81,0,0,0,1,-3.31582307815552,0
24,82,0,0,0,1,-0.673873901367188,0
24,83,0,0,0,1,4.056969165802,0
24,84,0,0,0,0,4.81573486328125,0
24,85,0,0,0,0,7.53210115432739,0
25,79,1,1,1,1,-0.84149169921875,NA
25,80,1,1,1,1,0.463136702775955,1
25,81,1,0,2,1,-0.486654311418533,1
25,82,1,0,1,2,0.215097397565842,1
25,83,1,0,1,2,-0.246559098362923,1
25,84,1,0,0,3,-1.87233698368073,1
25,85,1,0,0,3,2.76880502700806,1
26,79,1,0,0,0,-5.0722770690918,NA
26,80,1,0,0,0,-7.82999610900879,1
26,81,1,0,0,0,-2.08662009239197,1
26,82,1,0,0,0,0.0755005031824112,1
26,83,0,0,0,0,2.69915199279785,1
26,84,1,0,0,0,6.12165117263794,0
26,85,1,0,0,0,6.09258699417114,1
27,79,0,0,0,0,-7.54865312576294,NA
27,80,0,0,0,0,2.03376603126526,0
27,81,0,0,0,0,-4.27343797683716,0
27,82,0,0,0,0,-0.0702933967113495,0
27,83,0,0,0,0,4.01117420196533,0
27,84,0,0,0,0,1.27273499965668,0
27,85,0,0,0,0,4.57470607757568,0
28,79,0,0,2,0,-12.9345798492432,NA
28,80,0,0,2,0,-11.4388399124146,0
28,81,1,0,1,1,-8.11885261535645,0
28,82,1,0,0,2,4.24334001541138,1
28,83,0,0,0,2,8.85371589660645,1
28,84,1,0,0,2,9.03656005859375,0
28,85,0,0,0,2,10.3586597442627,1
